Sequence,Food,Quantity,Portion,Output,UOM,Calories,Carbohydrate,Protein,Fat,Fibre,Calcium,Potassium,Sodium,Iron,Type,Breakfast,Lunch,Dinner,Morning Snack,Tea Time Snack,Evening Snack,Bed Time,Pre Training,Pre Workout,During Training,During Workout,Post Training,Post Workout,On Waking up,Beverage,GL,LACT,MLK,HYP,PE,SF,TNT,WHE,SOY,EGG,Vegan,Vegetarian,Eggetarian,Piscetarian,Non Vegetarian,IsActive,Food Source,id
42,Sauteed chicken,100g,1,100,g,138,1,20.1,5.5,0.1,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,Healthifyme,42
43,Avarekaalu Saru ,100,1,100,g,69,5.5,2,4.4,9.5,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Healthifyme ,43
44,Grilled chicken breast with sautéed vegetables (The salad studio),1,1,1,serving ,437,17.4,55.3,17,5.4,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,healthifyme ,44
45,Chicken teriyaki salad (Subway),255g,1,1,portion,136,11.5,16.1,2.4,3,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,Healthifyme,45
46,Pork Roast,100gm,1,100,gm,96,2.1,11.6,4.7,1,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,Healthifyme,46
47,Chicken spinach kebab,100,1,100,g,143,1.3,18.1,6.8,0.4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,healthifyme ,47
48,Herman Brot High Protein Low Carb Wraps,1g,1,1,wrap,158,10.7,16,3.9,5.1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,http://tinyurl.com/2vx74nyx,48
49,Edamame Salad,100g,1,100,g,79,8.9,6.2,2.5,4.1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,healthifyme,49
50,Roasted chicken salad (Salad days),275g,1,1,portion,234,7.9,25.7,10.8,2.6,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,Healthifyme,50
51,Tofu scramble,100g,1,100,g,117,5.2,11.6,6.6,2.5,,,,,,1,1,1,,,,,,,,,1,1,,,,,,1,,,,,1,,,,,,1,1,Healthifyme,51
52,Soy Egg (2 Whites + 1 yolk),1,1,1,portion,84,0,9.6,5,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,,,1,1,From software,52
53,Chicken Taco ,1 Taco,1,1,Taco,173,16.8,17.4,4.1,1.4,,,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,Healthifyme,53
54,Chicken Kurma,100g,1,100,g,111,3.2,10.8,5.9,0.8,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,Healthifyme ,54
55,Egg dropped chicken soup (O4H),100,1,100,ml,68,5.7,6.1,2.4,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,Healthifyme ,55
56,Masoor dal Curry,100 gm,1,100,gm,85,13,5.3,1.3,3.8,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,Healthifyme,56
57,Pro salad- Grilled barbeque chicken (California Burrito),250g,1,1,Bowl,390,29,30,18,10,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,Healthifyme,57
58,Soy Milk (Bonsoy),100ml,1,100,ml,58,5.5,4.1,2.2,1.4,,,,,,1,,,1,1,1,,,,,,,,,1,,,,1,,,,,1,,,,,,1,1,https://tinyurl.com/3r932hev,58
59,Chana curry,1,1,100,g,86,11.7,3.1,3.1,5,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,Kadala curry from software,59
60,Caprese salad,100g,1,100,g,228,2.6,15.4,17.3,0.6,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,healthifyme,60
