SupplementName,Dosage,id
NATURE'S BOUNTY Collagen Peptides,"Take 2 capsules after strength training thrice a week, alternative to Kirkland fish oil capsules.",123
Align Probiotic Digestive Support,Take 1 capsules everyday after breakfast for 15 days regularly and then discontinue it (You can repeat the dose after 3 months),124
"NATURE'S BOUNTY Hair, Skin & Nails",Take 1 capsule everyday post breakfast.,125
Centrum Women MultiGummies,"Take 1 capsule after completing Nature's Bounty Hair supplement, you can resume this supplement.",126
Miduty Methyl B12 & Folate,Take 1 capsule after breakfast,127
HealthyHey Fish Oil Omega 3,,128
HealthyHey Magnesium Citrate Vegetable Capsules,,129
Livogen Adult Tonic,Take 2 tbsp of the syrup everyday for 30 days after dinner.,130
Pro Beet - Your Supplement ,,131
Methycobal (B-12 500mcg),Take 1 tablet after breakfast once a day,132
Good Monk Fiber Fix,1 scoop per day ,133
Swisse Iron ,1 tablet afer dinner,134
Healthyhey Nutrition Folic Acid,1 capsule daily with a meal,135
Healthyhey Nutrition - Iron For Men ,Take 1 tablet after breakfast everyday for 8 weeks and then discontinue it.,136
Nature Made Vitamin B12 1000 mcg Fast Dissolve Tablets,,137
Nature Made Vitamin D3 Extra Strength 5000 IU (125 mcg),,138
Voost Energy,,139
Electral powder (4.4g),,140
Orthoplex Omega 3,Take 1 capsule every day at bedtime for 3 months.,141
Quicobal - Vit B12,,142
Fast & Up Magnesio (Mg 300 mg + Zn),,143
Wellbeing Melts Healthy Hair (Biotin),,144
Explosive Whey - Elite series Whey Protein,,145
Universal nutrition animal pak,1 per day ,146
DNA Dispatch nitric oxide complex capsule,1 capsule pre training,147
Nurotroy SR,,148
HK Vitals Triple Strength Omega-3 Fish Oil (1150 mg),,149
Disperzyme,,150
Tendocare,,151
Ace blend max magnesium,1 capsule per day before sleeping,152
Bandy Tablet ,"Take 1 tablet after breakfast, once in 6 months.",153
Follihair,"Take 1 tablet after lunch/ dinner, once in 6 months.",154
Miduty Organic Blood Builder,,155
Now Foods Magnesium Malate,,156
D rise (60k IU) ,1 capsule post breakfast - once a week for 3 months,157
Supply 6 Salts,1 sachet in 500 ml water during training/workout,158
Nordic Naturals Omega 3 (690 mg) ,,159
NOW Iron (36 mg),,160
Celin 500 mg ,,161
PrimaForce Electrolytes ,,162
Doctor's Best High Absorption Magnesium (200 mg),1 capsule everyday bed time ,163
Nutrition X Nighttime protein Casein protein (chocolate),As per the plan,164
Resvetarol,,165
Psyllium husk,1 tsp ,166
Naturyz Natural Vitamin C double strength (with zinc),,167
Boldfit Probiotics Supplement,,168
Carbamide Forte Vitamin D3 + K2,,169
Carbamide Forte L Citrulline Powder 2000mg,,170
Carbamide Forte L-Arginine 1000mg,,171
Carbamide Forte L Carnitine Liquid 3300mg,,172
Unived Magnesium Glycinate,,173
Curegarden Turmeric Extract (BCM 95),1 capsule after dinner,174
Unived gel 100 (cocoa choco),,175
Unived B complex,1 capsule in the morning on empty stomach,176
Carbamide Forte Chelated Magnesium Glycinate 2000mg,,177
Supply 6 - 360 ,,178
The Whole Truth Unflavoured Pure Whey Protein Isolate (30 g protein),"Use as recommended in the plan. 
",179
The Whole Truth Unflavoured Raw Whey Protein Concentrate (26 g protein),"Use as recommended in the plan. 
",180
The Whole Truth Any Flavour Whey Protein (24 g protein) ,"Use as recommended in the plan. 
",181
Wellbeing Nutrition PCOS Balance Slow,,182
Wellbeing Nutrition 4x Strength Omega 3 Fish Oil,,183
Healthy Hey - Caffeine 95mg Plus L-Theanine,Daily - post breakfast,184
Swisse Omega 3 fish oil,Continue with the current dosage,185
Nutra Creatine Monohydrate,2.5 g post workout,186
Ace Blend Outshine Omega 3 Fish Oil Capsules,Take 1 capsule thrice a week.,187
Healthy Hey Skin Glow-n-Shine® Collagen Powder 200g,,188
Arth Sleep Support Gummies (Melatonin 5 mg + Chamomile + L -Theanine),1 gummy 30 min before bedtime.,189
Wellbeing Restful Sleep Melts (Melatonin 10 mg + Valerian Root + L-Theanine)),1 strip 30 min before bedtime.,190
Wellwoman 50+ multivitamins,,191
Healthy Hey Chromium Piconilate (400 mcg),1 capsule post lunch,192
Creatine - 3g,1 scoop post training,193
Wellbeing Nutrition Diabetes Care,1 tablet 30 minutes before breakfast,194
Zinzino Essentoil + Fish and olive oil (Omega 3),,195
Blong F tablet,,196
Inlife Curcumin + piperine (500 mg),,197
Carbamide Forte L Carnitine Liquid 3300mg,,198
Thorne-Omega 3 1200mg (Canada),,199
Ace blend Gastro Pro ,,200
Gemcal XT,,201
Unived melatonin,,202
Wellbeing Nutrition Liposomal Berberine HCL+,,203
Trunativ Everyday Sweet Monkfruit Sweetener Powder,,204
CureGarden DAILY DEFENSE – Curcumin Supplement,,205
MiDuty Iron Strips for Kids,,206
WOW Apple Cider Vinegar ,,207
Wellbeing Nutrition Bioactive B Complex,,208
HealthyHey Nutrition L-Theanine,,209
Trexgenics Mv99 Multivitamin,,210
Vita One Iron Complex ,,211
HealthyHey Nutrition ThyroHealth,,212
Decode age NMN 500,,213
Decode age Resveratrol ,,214
Miduty Antarctic Fish Krill Oil,,215
Carbamide Forte Vitamin B12 Tabs (1500 mcg),,216
"Carbamide Forte Chelated Iron with Vitamin C, B12 & Zinc ",,217
"Trexgenics L-THEANINE 200 mg, CAFFEINE 100 mg",,218
Carbamide Forte  L- Glutathione Tablet 500 mg with Vitamin C ,,219
Ace blend IBS gastro pro,,220
Stinging Nettle Tea,,221
HealthyHey Magnesium Glycinate ,,222
Nature's Bounty Magnesium Glycinate (240 mg),,223
Nordic Naturals Ultimate Omega Plant-Based 1210 mg,,224
ON Creatine Monohydrate,,225
Methylcobyl 500 mcg,,226
HK vitals (Iron+ Vitamin B12),,227
"NOW Foods, Calcium D-Glucarate, 500 mg, 90 Veg Capsules",,228
"Nutricost, Calcium D-Glucarate, 500 mg, 120 Capsules",,229
Miduty Estrogen Balance ,,230
Ferroglide,,231
Folate 9 ,,232
Muscle Nectar Triple Strength Purified Omega 3 Fish Oil  ,,233
ShelCal K (Calcium + D3 + K2),,234
Briyo Vitamin D 1000 IU,,235
Ultra Magnesium,,236
Well-being nutrition B-complex,,237
HealthyHey Bone Max,,238
Raricap - Iron and Folic Acid supplement,,239
